"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1225983778","Fai High Performance","3"
"1417774381","LowToxin","3"
"1669327102","Delos Longevity","3"
"1831296144","Danville Pediatrics","3"
"1831296144","Hendricks Pediatrics of Danville","3"
"1972604320","Hendricks Pediatrics","3"
"1972604320","Hendricks Pediatrics of Avon","3"
"1982559423","GentlePath Home Healthcare","3"
"1043376643","Freeport Fire Department","3"
"1043663206","ACTIVE LIFE PT","3"
"1043663206","WP-PT LLC","3"
"1164997102","Kohll's RX","3"
"1184579658","AHF Pharmacy","3"
"1265515712","Odyssey HealthCare","3"
"1407916018","Wellspan Rheumatology","3"
"1518595727","Lavender","3"
"1538014006","Azul Health Megan Hart Fernandez","3"
"1598406431","Aaron healthcare systems Inc","4"
"1649089285","Healthy Minds Family and Psychiatric Medicine LLC","3"
"1710830484","RADIOLOGIA UTUADO HEALTH HOSPITAL","3"
"1801695234","HANGER CLINIC","3"
"1821418922","Liberty EMS","3"
"1821879842","Giant Pharmacy","3"
"1831712868","Kohlls Rx LTC","3"
"1881698439","Liberator Medical Supply, Inc.","3"
"1912954090","MedNorth Health Center","3"
"1932643939","Reliance Treatment Center","3"
"1952866790","Cornerstone OCD & Anxiety Group","3"
"1982356671","Active Life PT","3"
"1043209877","Acelis Connected Health Supplies","3"
"1073349254","American Physiatry","3"
"1093602492","Glen Lehman Endoscopy Suite","3"
"1104826858","Casa de Amigos Clinic Pharmacy","3"
"1114927837","Settegast Health Center Pharmacy","3"
"1114927852","Aldine Pharmacy","3"
"1124237227","Phelps Health Medical Group Rolla","3"
"1154462026","Acelis Connected health Supplies","3"
"1184623084","Baytown Clinic Pharmacy","3"
"1194265389","MidMichigan Medical Center-Mt Pleasant","5"
"1205835774","Northwest Health Center Pharmacy","3"
"1205928967","WellSpan Behavioral Health","3"
"1205928967","WellSpan Endocrinology","3"
"1205928967","WellSpan Heart & Vascular Center","3"
"1205928967","WellSpan Hospitalists","3"
"1205928967","WellSpan Nephrology","3"
"1205928967","WellSpan OB/GYN","3"
"1205928967","WellSpan Orthopedics","3"
"1205928967","WellSpan Pain Management","3"
"1205928967","WellSpan Palliative and Supportive Care","3"
"1205928967","WellSpan Rheumatology","3"
"1205928967","WellSpan Surgical Specialists","3"
"1205928967","WellSpan Urology","3"
"1205928967","WellSpan Wound Care Center","3"
"1235139981","Strawberry Health Center Pharmacy","3"
"1255168894","American Physiatry","3"
"1275532509","Lyndon Baines Johnson General Hospital Pharmacy","3"
"1285277608","Saint Joseph's Mercy Care CHRIS 180","3"
"1346136777","CNMRI 2.0 P.A.","3"
"1366682049","Fondren Foundation Pharmacy at Smith","3"
"1396984290","El Franco Lee Community Health Center Pharmacy","3"
"1457717787","MidMichigan Medical Center-Gratiot","3"
"1487541876","IU Health Endoscopy Center - Spring Mill","3"
"1528841020","Empatia Palliative Care","3"
"1538168877","E.A. Squatty Lyons Pharmacy","3"
"1538187026","WALMART PHARMACY 10-0044","3"
"1588663025","Ben Taub General Hospital Pharmacy","3"
"1598764987","Gulfgate Community Health Center Pharmacy","3"
"1629087796","Human Touch (Allentown)","3"
"1629543665","Kohll's RX","3"
"1649594094","Martin Luther King Jr Community Health Center Pharmacy","3"
"1679573513","Acres Home Neighborhood Pharmacy","3"
"1710979976","CITY DRUGS","3"
"1740018951","American Physiatry","3"
"1740177146","Fishers Surgery Center","3"
"1740882059","Plainfield Nutrition Studio","3"
"1841187143","IU Health Surgery Center - Harcourt","3"
"1851390033","Vallbona Pharmacy","3"
"1871568790","Bothwell Medical Equipment","3"
"1871592204","Quentin Mease Health Center Pharmacy","3"
"1902793375","Eagle Highlands Surgery Center","3"
"1912745613","American Physiatry","3"
"1942197348","East Washington Surgery Center","3"
"1952961138","PAM Health Rehabilitation Hospital of Houston Heights","3"
"1952961138","PAM Health Rehabilitation Hospital of Katy","3"
"1962230177","American Physiatry","3"
"1992121149","Harris Health Central Fill","3"
"1073839296","Wolf River Dialysis","3"
"1114142486","TheraWest Physical Therapy","3"
"1154035236","BHG Medical Services - Kansas","3"
"1205152618","Minnesota Eye Laser & Surgery Centers","3"
"1215129770","Montgomery Integrative Health","3"
"1245005669","Nissi Wellness Clinic","3"
"1245359751","Human Touch","3"
"1275177271","NIEMEIER MD APC","3"
"1316379647","Minnesota Eye Laser & Surgery Centers","3"
"1356454482","USA Home Health Services","3"
"1366157059","BHG Medical Services - Kansas","3"
"1447258769","USA Home Health Services","3"
"1467307850","Bethel Pharmacy LTC","3"
"1649203639","DLV Vision Management LLC","3"
"1679857742","Leeds Dialysis","3"
"1689692626","BRITT PHARMACY","3"
"1689692626","Edwin E Britt","4"
"1699321406","BHG Medical Services-North Little Rock","3"
"1700087079","TheraWest Physical Therapy","3"
"1700087079","TheraWest Rehabilitation Center","3"
"1720059421","Minnesota Eye Laser & Surgery Centers","3"
"1720813959","Azura Surgery Center Henderson","3"
"1851001846","BHG Medical Services - Kansa","3"
"1851340350","Delaware Hospital for the Chronically Ill","5"
"1871736082","Ochsner Extended Care Hospital of Kenner","3"
"1922535830","Excel Foot and Ankle Specialist","3"
"1932901071","American Physiatry","3"
"1942509450","UNCH Dept. of Prosthetics & Orthotics","3"
"1952086993","Belle Grove Birth Center","3"
"1952086993","Morning Star Birth Center","3"
"1972266732","Midi Health PC","3"
"1972268670","Elysian Therapy","3"
"1003821729","Parkview Huntington Hospital","3"
"1023310901","Cornerstone Pediatric Therapy","3"
"1043294358","AccentCare Home Health and Personal Care of Texas","3"
"1063304467","VeriGenix Labs","3"
"1093034159","Trinity Holy Rosary Medical Center","4"
"1093140600","FMOL Health  Our Lady of the Angels","3"
"1093140600","Our Lady of the Angels Hospital","3"
"1144275629","Parkview Southwest Surgery Center","3"
"1154205623","ROI Center for Experiential Healing","3"
"1154205623","Roiya Center for Experiential Healing","3"
"1205296340","FMOL Health  Our Lady of the Angels","3"
"1205844495","Parkview Whitley Hospital","3"
"1245259878","Parkview Wabash Hospital","3"
"1275236374","none","4"
"1275552812","WCH Swing Bed","3"
"1326191958","Surgery Center of San BuenaVentura","3"
"1326191958","Ventura Orthopedics Surgery Center","3"
"1326993726","Southwest Medical Medication Services","3"
"1346304649","New Hope Home Health","3"
"1366407603","Parkview Regional Medical Center","3"
"1366735862","Metro Medical Group","3"
"1386101368","BrightStar Care Brevard & Osceola","3"
"1386101368","BrightStar Care Kissimmee/Osceola","3"
"1386101368","BrightStar Care of Brevard & Osceola","3"
"1386101368","BrightStar Care of Melbourne","3"
"1386101368","BrightStar Care of Saint Lucie & Indian River Counties","3"
"1407964091","MED-CARE INFUSION SERVICES","3"
"1457366189","Parkview Noble Hospital","3"
"1457967770","Pearl Dentistry of Butler PLLC","3"
"1467604694","South Coast Therapy, Inc.","4"
"1518812924","Kenansville Pharmacy (LTC)","3"
"1568637718","Katy Medical & Wellness","3"
"1568652436","Gillespie Family Practice Center","3"
"1629891676","Wound Docs","3"
"1649344516","Hanger Clinic","3"
"1669671541","Mercy GYN Oncology","4"
"1679279046","Nansemond Indian Nation","3"
"1679674956","Parkview LaGrange Hospital","3"
"1689281222","Unified Medical Equipment Solutions Newport","3"
"1710993761","Parkview Rehabilitation","5"
"1720126295","DeKalb Health PharmaCare","3"
"1760823397","Saint Alphonsus Medical Group Fruitland Health Plaza","3"
"1780273474","Healthcare ExtraOrdinare, LLC","3"
"1780457853","Unified Medical Equipment Solutions Jonesboro","3"
"1780539577","Urgent Recovery Center","3"
"1780680942","Parkview Home Infusion Services","3"
"1811731482","Hermitage Primary Care, a division of Summit Medical Group","3"
"1881726206","Saint Alphonsus Medical Group Baker City","3"
"1902897937","Parkview Dekalb Hospital","3"
"1912008772","Parkview LaGrange Hospital","3"
"1922004183","Parkview Home Health and Hospice","3"
"1922515907","North Manchester RHC","3"
"1922733559","Optumcare Cancer Care","3"
"1972383677","Unified Medical Equipment Solutions Bentonville","3"
"1972547610","North Basin Medical Clinics","3"
"1972547610","North Basin Medical Clinics--Wilbur Clinic","3"
"1972547610","Wilbur Clinic","5"
"1982008355","Irish Dialysis","3"
"1982103511","Parkview Wabash Rural Health Clinic","3"
"1033806245","Rehabilitative Health Services","3"
"1063098945","Richmond Hill Pediatric Associates","3"
"1184410854","Rainier occupational and family medical center","3"
"1245607993","Allison J. Spinneweber, LCSW","3"
"1285069617","TidalHealth Community Pharmacy","3"
"1285069617","TIdalHealth Home Scripts","5"
"1336467166","Consumer Direct Care Network Texas","3"
"1407957434","Ponce De Leon Diagnostic Services Ltd","3"
"1508603028","Unified Medical Equipment Solutions Jacksonville","3"
"1528736949","Nurse Next Door Home Care Services","3"
"1629896980","Medical Professionals of Miami","3"
"1649607268","FMOL Health  Our Lady of the Angels","3"
"1649607268","Our Lady of the Angels Hopsital - Psych","3"
"1659744035","Guiding Change Therapy LLC","4"
"1669327151","BrainDocs","3"
"1740617364","FMOL Health  Our Lady of the Angels","3"
"1740617364","Our Lady of the Angels Hospital","3"
"1750091948","Hildale Dental","3"
"1750091948","Hildale Dental","4"
"1851795017","TidalHealth Community Pharmacy","3"
"1851795017","TidalHealth Home Scripts","5"
"1912334533","FMOL Health  Our Lady of the Angels","3"
"1912334533","Our Lady of the Angels Hospital","3"
"1912759226","Drexzell Primary Care","5"
"1922959956","QSP Southwest Healthcare Services","5"
"1992567275","WENDO HOME HEALTH AGENCY LLC","3"
"1073915294","Community Medical Center","3"
"1073915294","Rehabilitation Institute of Montana","3"
"1134179427","Heartland Vision","3"
"1184199515","Tarr Family Eyecare","3"
"1255016747","Antelope Valley Home Training","3"
"1336178060","Age to Age Counseling","3"
"1366584948","Antelope Valley Cancer Center","3"
"1417953571","Tampa Community Health Centers, Inc.","4"
"1487764916","Sock Doc","3"
"1487764916","SockDoc","3"
"1558215616","C&C Home Care","3"
"1588522668","Children's Brooklyn Park Clinic","3"
"1639135379","Kayenta Dialysis","3"
"1669327003","Refuge Counseling Center","3"
"1720977705","Daniel Lightell Jr. LCSW LLC","3"
"1750961231","Sixty & Above Transportation LLC","3"
"1831167246","Jewish Family Service Of Greater Miami","4"
"1851240642","Sincere Practice","3"
"1851851117","Discovery Home Training","3"
"1902622137","GEORGIA ACUTE MEDICAL SERVICES","3"
"1952589855","Javurek Chiropractic Clinic","3"
"1962351957","JBT Care Consulting","3"
"1003506700","Doze PLLC","3"
"1003506700","Herring Family Dental","3"
"1215742614","Winton Pharmacy","3"
"1215882675","Avita Pharmacy 1087","3"
"1235084609","Maternal Fetal Medicine Davis","3"
"1255007233","KJ HOMECARE LLC","3"
"1316892789","Periodontal Associates","3"
"1356476477","FERRY COUNTY EMS DISTRICT 1","3"
"1396176426","MedStar Health Physical Therapy","3"
"1396176426","MedStar Physical Therapy at Lorton","3"
"1417020579","River Bend Medical Associates, Inc.","3"
"1639368079","River Bend Medical Associates, Inc.","3"
"1639998453","HEALTHY HORIZONS PSYCHIATRY","3"
"1639998453","Healthy Horizons Psychiatry PC","3"
"1700731189","Penrose Pulmonology","3"
"1720788318","Baldwin Pharmacy LLC LTC","3"
"1730034109","Maternal Fetal Medicine Jordan Valley","3"
