practice_state,state_name,provider_count,taxonomy_diversity,avg_provider_enum_year,recent_provider_growth,metro_population,providers_per_100k
AK,Alaska,372,2.6551724137931036,2012.632329066187,22.0,909377.0,40.90712652728186
AL,Alabama,1077,2.265151515151515,2012.0660137021234,65.0,14838177.0,7.258304035596826
AR,Arkansas,619,2.21978021978022,2010.428625548348,24.0,8904792.0,6.95131340518678
AZ,Arizona,1991,2.901554404145078,2011.71290411484,136.0,12423801.0,16.025691332306433
CA,California,10413,2.8145077720207254,2011.0979507896814,376.0,85615154.0,12.162566454064896
CO,Colorado,2370,2.9895833333333335,2011.9725327642748,163.0,33485955.0,7.07759417343779
CT,Connecticut,1364,2.9224806201550386,2009.7915591844903,49.0,5604994.0,24.335440858634282
DC,District of Columbia,451,3.4642857142857144,2012.2162456796977,18.0,6436489.0,7.0069256701906895
DE,Delaware,346,2.90625,2009.8469828090008,15.0,6523112.0,5.304216760343836
FL,Florida,6693,2.8849840255591053,2011.8814186086217,410.0,66955576.0,9.996180153838122
GA,Georgia,3360,2.961267605633803,2010.7939270104566,196.0,198940717.0,1.6889453555151306
HI,Hawaii,501,2.511111111111111,2011.7477181153986,38.0,1326285.0,37.77468643617322
IA,Iowa,740,2.2110091743119265,2010.956683311568,55.0,10123695.0,7.309584099481465
ID,Idaho,514,2.3181818181818183,2012.9995228430537,46.0,5494042.0,9.355589200082562
IL,Illinois,3771,2.7,2010.282416522371,225.0,112535482.0,3.350943127430689
IN,Indiana,1771,2.5588235294117645,2010.048794304459,90.0,79092419.0,2.239152655073048
KS,Kansas,698,2.3,2011.8564868496596,55.0,15928923.0,4.381966062614528
KY,Kentucky,1120,2.3093525179856114,2010.440443821661,51.0,34306653.0,3.2646728901242565
LA,Louisiana,1222,2.422222222222222,2010.6436776429177,67.0,21147228.0,5.778535134723095
MA,Massachusetts,2523,2.6188524590163933,2010.9920639511174,116.0,28700580.0,8.790763113498056
MD,Maryland,2356,3.10989010989011,2012.328196780085,303.0,53086745.0,4.438019321018834
ME,Maine,511,2.236842105263158,2011.0712926018655,25.0,1986714.0,25.72086369754278
MI,Michigan,3377,2.5074626865671643,2010.7995367402332,258.0,36884856.0,9.155519002161753
MN,Minnesota,1801,2.3655913978494625,2011.74059028468,125.0,51813122.0,3.4759534466963795
MO,Missouri,1829,2.319371727748691,2011.6869532596613,120.0,44684303.0,4.093159962683092
MS,Mississippi,648,2.3780487804878048,2011.215079723912,38.0,13723046.0,4.721983734514917
MT,Montana,377,2.3958333333333335,2010.8703263505856,19.0,1334787.0,28.2442067535869
NC,North Carolina,3368,2.772893772893773,2011.4383992252026,204.0,47634083.0,7.070567517800227
ND,North Dakota,167,2.227272727272727,2010.4297628969287,5.0,1017340.0,16.415357697524918
NE,Nebraska,507,2.5,2012.4526857340013,49.0,6084130.0,8.333155274459948
NH,New Hampshire,561,2.5185185185185186,2010.552954241689,24.0,10481496.0,5.352289406016088
NJ,New Jersey,3036,2.7868852459016393,2010.0790357254361,163.0,266785188.0,1.1379942127821578
NM,New Mexico,781,2.736842105263158,2010.4223490455893,44.0,4213160.0,18.537155009541532
NV,Nevada,701,2.753623188405797,2011.9725212012565,35.0,4182349.0,16.760915935040334
NY,New York,7171,3.0530035335689045,2010.384919509155,311.0,216762520.0,3.3082287472945047
OH,Ohio,3402,2.6572237960339944,2010.933454099082,167.0,55329272.0,6.148644066742826
OK,Oklahoma,923,2.2142857142857144,2011.2734419461856,43.0,18452021.0,5.002162093789076
OR,Oregon,1624,2.713235294117647,2011.532163328852,73.0,15292949.0,10.619272973446783
PA,Pennsylvania,4201,2.548235294117647,2010.921853452619,260.0,59996146.0,7.0021164359457355
RI,Rhode Island,431,3.1379310344827585,2011.1350459972302,20.0,8504505.0,5.067902247103153
SC,South Carolina,1480,2.7401574803149606,2010.5565831196354,127.0,23927097.0,6.185455761724875
SD,South Dakota,209,1.8214285714285714,2011.0736082871517,8.0,1847739.0,11.311121321788413
TN,Tennessee,1962,2.4454976303317535,2012.2329333543908,149.0,47725729.0,4.1109901118535035
TX,Texas,7704,2.6034236804564905,2011.6103710949187,429.0,221194167.0,3.482912820210128
UT,Utah,1010,2.5555555555555554,2013.088610328499,85.0,6494697.0,15.551148883466002
VA,Virginia,2667,2.7709923664122136,2011.7841944484478,227.0,166804978.0,1.5988731463397932
VT,Vermont,311,2.2916666666666665,2011.2195558510023,14.0,688335.0,45.18148866467636
WA,Washington,2425,2.725225225225225,2011.950861269254,121.0,21067081.0,11.510849557183551
WI,Wisconsin,1498,2.1401869158878504,2011.5213545403942,104.0,20189722.0,7.419616773326547
WV,West Virginia,436,2.039473684210526,2010.8269596938917,26.0,10095388.0,4.318803794366299
WY,Wyoming,154,2.3448275862068964,2010.3394744369896,7.0,182193.0,84.52575016603272
