CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
10180,"Abilene, TX",48059,Callahan County,Texas,"Abilene, TX",".Abilene, TX Metro Area",184278.0
10180,"Abilene, TX",48253,Jones County,Texas,"Abilene, TX",".Abilene, TX Metro Area",184278.0
10180,"Abilene, TX",48441,Taylor County,Texas,"Abilene, TX",".Abilene, TX Metro Area",184278.0
10380,"Aguadilla, PR",72003,Aguada Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10380,"Aguadilla, PR",72005,Aguadilla Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10380,"Aguadilla, PR",72011,Añasco Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10380,"Aguadilla, PR",72071,Isabela Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10380,"Aguadilla, PR",72099,Moca Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10380,"Aguadilla, PR",72117,Rincón Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10380,"Aguadilla, PR",72131,San Sebastián Municipio,Puerto Rico,"Aguadilla, PR",".Aguadilla, PR Metro Area",250969.0
10420,"Akron, OH",39133,Portage County,Ohio,"Akron, OH",".Akron, OH Metro Area",702209.0
10420,"Akron, OH",39153,Summit County,Ohio,"Akron, OH",".Akron, OH Metro Area",702209.0
10500,"Albany, GA",13095,Dougherty County,Georgia,"Albany, GA",".Albany, GA Metro Area",145451.0
10500,"Albany, GA",13177,Lee County,Georgia,"Albany, GA",".Albany, GA Metro Area",145451.0
10500,"Albany, GA",13273,Terrell County,Georgia,"Albany, GA",".Albany, GA Metro Area",145451.0
10500,"Albany, GA",13321,Worth County,Georgia,"Albany, GA",".Albany, GA Metro Area",145451.0
10540,"Albany, OR",41043,Linn County,Oregon,"Albany, OR",".Albany, OR Metro Area",132474.0
10580,"Albany-Schenectady-Troy, NY",36001,Albany County,New York,"Albany-Schenectady-Troy, NY",".Albany-Schenectady-Troy, NY Metro Area",913485.0
10580,"Albany-Schenectady-Troy, NY",36083,Rensselaer County,New York,"Albany-Schenectady-Troy, NY",".Albany-Schenectady-Troy, NY Metro Area",913485.0
10580,"Albany-Schenectady-Troy, NY",36091,Saratoga County,New York,"Albany-Schenectady-Troy, NY",".Albany-Schenectady-Troy, NY Metro Area",913485.0
10580,"Albany-Schenectady-Troy, NY",36093,Schenectady County,New York,"Albany-Schenectady-Troy, NY",".Albany-Schenectady-Troy, NY Metro Area",913485.0
10580,"Albany-Schenectady-Troy, NY",36095,Schoharie County,New York,"Albany-Schenectady-Troy, NY",".Albany-Schenectady-Troy, NY Metro Area",913485.0
10740,"Albuquerque, NM",35001,Bernalillo County,New Mexico,"Albuquerque, NM",".Albuquerque, NM Metro Area",926303.0
10740,"Albuquerque, NM",35043,Sandoval County,New Mexico,"Albuquerque, NM",".Albuquerque, NM Metro Area",926303.0
10740,"Albuquerque, NM",35057,Torrance County,New Mexico,"Albuquerque, NM",".Albuquerque, NM Metro Area",926303.0
10740,"Albuquerque, NM",35061,Valencia County,New Mexico,"Albuquerque, NM",".Albuquerque, NM Metro Area",926303.0
10780,"Alexandria, LA",22043,Grant Parish,Louisiana,"Alexandria, LA",".Alexandria, LA Metro Area",148008.0
10780,"Alexandria, LA",22079,Rapides Parish,Louisiana,"Alexandria, LA",".Alexandria, LA Metro Area",148008.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041,Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",".Allentown-Bethlehem-Easton, PA-NJ Metro Area",886418.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025,Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",".Allentown-Bethlehem-Easton, PA-NJ Metro Area",886418.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,Lehigh County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",".Allentown-Bethlehem-Easton, PA-NJ Metro Area",886418.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",42095,Northampton County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",".Allentown-Bethlehem-Easton, PA-NJ Metro Area",886418.0
11020,"Altoona, PA",42013,Blair County,Pennsylvania,"Altoona, PA",".Altoona, PA Metro Area",120269.0
11100,"Amarillo, TX",48011,Armstrong County,Texas,"Amarillo, TX",".Amarillo, TX Metro Area",274650.0
11100,"Amarillo, TX",48065,Carson County,Texas,"Amarillo, TX",".Amarillo, TX Metro Area",274650.0
11100,"Amarillo, TX",48359,Oldham County,Texas,"Amarillo, TX",".Amarillo, TX Metro Area",274650.0
11100,"Amarillo, TX",48375,Potter County,Texas,"Amarillo, TX",".Amarillo, TX Metro Area",274650.0
11100,"Amarillo, TX",48381,Randall County,Texas,"Amarillo, TX",".Amarillo, TX Metro Area",274650.0
11180,"Ames, IA",19015,Boone County,Iowa,"Ames, IA",".Ames, IA Metro Area",129227.0
11180,"Ames, IA",19169,Story County,Iowa,"Ames, IA",".Ames, IA Metro Area",129227.0
11200,"Amherst Town-Northampton, MA",25015,Hampshire County,Massachusetts,"Amherst Town-Northampton, MA",".Amherst Town-Northampton, MA Metro Area",165399.0
11260,"Anchorage, AK",02020,Anchorage Municipality,Alaska,"Anchorage, AK",".Anchorage, AK Metro Area",407213.0
11260,"Anchorage, AK",02170,Matanuska-Susitna Borough,Alaska,"Anchorage, AK",".Anchorage, AK Metro Area",407213.0
11460,"Ann Arbor, MI",26161,Washtenaw County,Michigan,"Ann Arbor, MI",".Ann Arbor, MI Metro Area",373875.0
11500,"Anniston-Oxford, AL",01015,Calhoun County,Alabama,"Anniston-Oxford, AL",".Anniston-Oxford, AL Metro Area",116427.0
11540,"Appleton, WI",55015,Calumet County,Wisconsin,"Appleton, WI",".Appleton, WI Metro Area",248992.0
11540,"Appleton, WI",55087,Outagamie County,Wisconsin,"Appleton, WI",".Appleton, WI Metro Area",248992.0
11640,"Arecibo, PR",72013,Arecibo Municipio,Puerto Rico,"Arecibo, PR",".Arecibo, PR Metro Area",180071.0
11640,"Arecibo, PR",72027,Camuy Municipio,Puerto Rico,"Arecibo, PR",".Arecibo, PR Metro Area",180071.0
11640,"Arecibo, PR",72065,Hatillo Municipio,Puerto Rico,"Arecibo, PR",".Arecibo, PR Metro Area",180071.0
11640,"Arecibo, PR",72115,Quebradillas Municipio,Puerto Rico,"Arecibo, PR",".Arecibo, PR Metro Area",180071.0
11700,"Asheville, NC",37021,Buncombe County,North Carolina,"Asheville, NC",".Asheville, NC Metro Area",422333.0
11700,"Asheville, NC",37089,Henderson County,North Carolina,"Asheville, NC",".Asheville, NC Metro Area",422333.0
11700,"Asheville, NC",37115,Madison County,North Carolina,"Asheville, NC",".Asheville, NC Metro Area",422333.0
12020,"Athens-Clarke County, GA",13059,Clarke County,Georgia,"Athens-Clarke County, GA",".Athens-Clarke County, GA Metro Area",223689.0
12020,"Athens-Clarke County, GA",13195,Madison County,Georgia,"Athens-Clarke County, GA",".Athens-Clarke County, GA Metro Area",223689.0
12020,"Athens-Clarke County, GA",13219,Oconee County,Georgia,"Athens-Clarke County, GA",".Athens-Clarke County, GA Metro Area",223689.0
12020,"Athens-Clarke County, GA",13221,Oglethorpe County,Georgia,"Athens-Clarke County, GA",".Athens-Clarke County, GA Metro Area",223689.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13013,Barrow County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13035,Butts County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13045,Carroll County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13063,Clayton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13077,Coweta County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13085,Dawson County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13089,DeKalb County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13097,Douglas County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13113,Fayette County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13117,Forsyth County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13121,Fulton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13135,Gwinnett County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13149,Heard County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13151,Henry County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13159,Jasper County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13187,Lumpkin County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13199,Meriwether County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13211,Morgan County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13217,Newton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13227,Pickens County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13231,Pike County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13247,Rockdale County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13255,Spalding County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13297,Walton County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13015,Bartow County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13057,Cherokee County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13067,Cobb County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13143,Haralson County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12060,"Atlanta-Sandy Springs-Roswell, GA",13223,Paulding County,Georgia,"Atlanta-Sandy Springs-Roswell, GA",".Atlanta-Sandy Springs-Roswell, GA Metro Area",6411149.0
12100,"Atlantic City-Hammonton, NJ",34001,Atlantic County,New Jersey,"Atlantic City-Hammonton, NJ",".Atlantic City-Hammonton, NJ Metro Area",372989.0
12100,"Atlantic City-Hammonton, NJ",34009,Cape May County,New Jersey,"Atlantic City-Hammonton, NJ",".Atlantic City-Hammonton, NJ Metro Area",372989.0
12220,"Auburn-Opelika, AL",01081,Lee County,Alabama,"Auburn-Opelika, AL",".Auburn-Opelika, AL Metro Area",206006.0
12220,"Auburn-Opelika, AL",01087,Macon County,Alabama,"Auburn-Opelika, AL",".Auburn-Opelika, AL Metro Area",206006.0
12260,"Augusta-Richmond County, GA-SC",13033,Burke County,Georgia,"Augusta-Richmond County, GA-SC",".Augusta-Richmond County, GA-SC Metro Area",636760.0
12260,"Augusta-Richmond County, GA-SC",13073,Columbia County,Georgia,"Augusta-Richmond County, GA-SC",".Augusta-Richmond County, GA-SC Metro Area",636760.0
12260,"Augusta-Richmond County, GA-SC",13181,Lincoln County,Georgia,"Augusta-Richmond County, GA-SC",".Augusta-Richmond County, GA-SC Metro Area",636760.0
12260,"Augusta-Richmond County, GA-SC",13189,McDuffie County,Georgia,"Augusta-Richmond County, GA-SC",".Augusta-Richmond County, GA-SC Metro Area",636760.0
12260,"Augusta-Richmond County, GA-SC",13245,Richmond County,Georgia,"Augusta-Richmond County, GA-SC",".Augusta-Richmond County, GA-SC Metro Area",636760.0
12260,"Augusta-Richmond County, GA-SC",45003,Aiken County,South Carolina,"Augusta-Richmond County, GA-SC",".Augusta-Richmond County, GA-SC Metro Area",636760.0
