practice_state,state_name,provider_count,metro_population,providers_per_100k,predicted_provider_density,residual,risk_score,risk_tier,supply_gap,risk_rank,taxonomy_diversity,recent_provider_growth
AK,Alaska,372,909377.0,40.90712652728186,15.103269185922954,25.803857341358903,3.9,well_served,0.0,49,2.6551724137931036,22.0
AL,Alabama,1077,14838177.0,7.258304035596826,14.177636063662703,-6.919332028065877,72.5,moderate_risk,6.919332028065877,14,2.265151515151515,65.0
AR,Arkansas,619,8904792.0,6.95131340518678,16.848897459180762,-9.89758405399398,84.3,high_risk,9.89758405399398,8,2.21978021978022,24.0
AZ,Arizona,1991,12423801.0,16.025691332306433,12.95555611936129,3.070135212945143,21.6,well_served,0.0,40,2.901554404145078,136.0
CA,California,10413,85615154.0,12.162566454064896,10.374601182359584,1.7879652717053125,27.5,adequate,0.0,37,2.8145077720207254,376.0
CO,Colorado,2370,33485955.0,7.07759417343779,10.148982932459148,-3.0713887590213584,49.0,moderate_risk,3.0713887590213584,26,2.9895833333333335,163.0
CT,Connecticut,1364,5604994.0,24.33544085863428,17.180708626377736,7.154732232256542,11.8,well_served,0.0,45,2.9224806201550386,49.0
DC,District of Columbia,451,6436489.0,7.0069256701906895,15.78998180133749,-8.7830561311468,76.5,high_risk,8.7830561311468,12,3.4642857142857144,18.0
DE,Delaware,346,6523112.0,5.304216760343836,17.575694155760175,-12.27147739541634,98.0,high_risk,12.27147739541634,1,2.90625,15.0
FL,Florida,6693,66955576.0,9.996180153838122,3.4443050336974466,6.551875120140675,15.7,well_served,0.0,43,2.8849840255591053,410.0
GA,Georgia,3360,198940717.0,1.6889453555151306,1.0126838669750668,0.6762614885400637,37.3,adequate,0.0,32,2.961267605633803,196.0
HI,Hawaii,501,1326285.0,37.77468643617322,15.324951300275188,22.44973513589803,5.9,well_served,0.0,48,2.511111111111111,38.0
IA,Iowa,740,10123695.0,7.309584099481465,15.124835493188812,-7.815251393707347,74.5,high_risk,7.815251393707347,13,2.2110091743119265,55.0
ID,Idaho,514,5494042.0,9.355589200082562,13.751611513346688,-4.396022313264126,54.9,moderate_risk,4.396022313264126,23,2.3181818181818183,46.0
IL,Illinois,3771,112535482.0,3.350943127430689,6.008875404888158,-2.657932277457469,47.1,adequate,2.657932277457469,27,2.7,225.0
