practice_state,state_name,cluster,cluster_label,providers_per_100k,taxonomy_diversity,recent_growth_per_100k,avg_provider_enum_year
AK,Alaska,2,high_supply,40.90712652728186,2.6551724137931036,2.419238665591938,2012.632329066187
AL,Alabama,1,low_supply,7.258304035596826,2.265151515151515,0.43805920363397743,2012.0660137021232
AR,Arkansas,1,low_supply,6.95131340518678,2.21978021978022,0.26951780569383316,2010.428625548348
AZ,Arizona,1,low_supply,16.025691332306433,2.901554404145078,1.0946730392735686,2011.71290411484
CA,California,1,low_supply,12.162566454064896,2.8145077720207254,0.43917458818096616,2011.0979507896816
CO,Colorado,1,low_supply,7.07759417343779,2.9895833333333335,0.4867712448398142,2011.9725327642748
CT,Connecticut,1,low_supply,24.33544085863428,2.9224806201550386,0.8742203827515249,2009.7915591844903
DC,District of Columbia,1,low_supply,7.0069256701906895,3.4642857142857144,0.2796555699854377,2012.2162456796975
DE,Delaware,1,low_supply,5.304216760343836,2.90625,0.22995159365652468,2009.8469828090008
FL,Florida,1,low_supply,9.996180153838122,2.8849840255591053,0.6123463115304989,2011.8814186086215
GA,Georgia,1,low_supply,1.6889453555151306,2.961267605633803,0.09852181240504929,2010.7939270104569
HI,Hawaii,2,high_supply,37.77468643617322,2.511111111111111,2.8651458773943763,2011.7477181153984
IA,Iowa,1,low_supply,7.309584099481465,2.2110091743119265,0.5432798992857845,2010.956683311568
ID,Idaho,1,low_supply,9.355589200082562,2.3181818181818183,0.8372706288011631,2012.9995228430537
IL,Illinois,1,low_supply,3.350943127430689,2.7,0.19993694077748742,2010.282416522371
IN,Indiana,1,low_supply,2.239152655073048,2.5588235294117645,0.11379093108784548,2010.048794304459
KS,Kansas,1,low_supply,4.381966062614528,2.3,0.34528385880200435,2011.8564868496596
KY,Kentucky,1,low_supply,3.2646728901242565,2.3093525179856114,0.14865921196101525,2010.440443821661
LA,Louisiana,1,low_supply,5.778535134723095,2.422222222222222,0.31682639445699456,2010.6436776429175
MA,Massachusetts,1,low_supply,8.790763113498056,2.6188524590163933,0.40417301671255423,2010.9920639511176
MD,Maryland,1,low_supply,4.438019321018834,3.10989010989011,0.5707639449357839,2012.328196780085
ME,Maine,1,low_supply,25.72086369754278,2.236842105263158,1.2583592807017014,2011.0712926018657
MI,Michigan,1,low_supply,9.155519002161752,2.5074626865671643,0.699474060573803,2010.7995367402332
MN,Minnesota,1,low_supply,3.4759534466963795,2.3655913978494625,0.24125162733872704,2011.74059028468
MO,Missouri,1,low_supply,4.093159962683092,2.319371727748691,0.268550680985222,2011.686953259661
MS,Mississippi,1,low_supply,4.721983734514917,2.3780487804878048,0.2769064535672328,2011.215079723912
MT,Montana,1,low_supply,28.2442067535869,2.3958333333333335,1.4234480857245388,2010.8703263505856
NC,North Carolina,1,low_supply,7.070567517800227,2.772893772893773,0.4282647783940755,2011.4383992252024
ND,North Dakota,1,low_supply,16.415357697524918,2.227272727272727,0.4914777753749976,2010.4297628969289
NE,Nebraska,1,low_supply,8.333155274459948,2.5,0.8053739811608233,2012.4526857340013
NH,New Hampshire,1,low_supply,5.352289406016088,2.5185185185185186,0.22897494785095562,2010.552954241689
NJ,New Jersey,1,low_supply,1.1379942127821578,2.7868852459016393,0.06109784475740835,2010.079035725436
NM,New Mexico,1,low_supply,18.537155009541532,2.736842105263158,1.0443467611009314,2010.4223490455893
NV,Nevada,1,low_supply,16.760915935040334,2.753623188405797,0.83685029632869,2011.9725212012563
NY,New York,1,low_supply,3.3082287472945047,3.0530035335689045,0.1434749882036802,2010.384919509155
OH,Ohio,1,low_supply,6.148644066742826,2.6572237960339944,0.3018293824650359,2010.933454099082
OK,Oklahoma,1,low_supply,5.002162093789076,2.2142857142857144,0.23303680393600246,2011.2734419461856
OR,Oregon,1,low_supply,10.619272973446783,2.713235294117647,0.47734416690986153,2011.532163328852
PA,Pennsylvania,1,low_supply,7.0021164359457355,2.548235294117647,0.4333611695657918,2010.921853452619
RI,Rhode Island,1,low_supply,5.067902247103153,3.1379310344827585,0.2351694778238122,2011.1350459972305
SC,South Carolina,1,low_supply,6.185455761724875,2.7401574803149606,0.5307789741480131,2010.5565831196352
SD,South Dakota,1,low_supply,11.311121321788413,1.8214285714285712,0.4329615816952503,2011.0736082871515
TN,Tennessee,1,low_supply,4.1109901118535035,2.4454976303317535,0.3122005742437166,2012.2329333543908
TX,Texas,1,low_supply,3.482912820210128,2.6034236804564905,0.19394724816590664,2011.6103710949187
UT,Utah,1,low_supply,15.551148883466002,2.5555555555555554,1.3087600545491191,2013.088610328499
VA,Virginia,1,low_supply,1.5988731463397932,2.7709923664122136,0.13608706569896253,2011.784194448448
VT,Vermont,2,high_supply,45.18148866467636,2.2916666666666665,2.033893380403437,2011.2195558510025
WA,Washington,1,low_supply,11.510849557183551,2.725225225225225,0.5743557923378184,2011.950861269254
WI,Wisconsin,1,low_supply,7.419616773326547,2.1401869158878504,0.515113581058719,2011.5213545403944
WV,West Virginia,1,low_supply,4.318803794366299,2.039473684210526,0.257543345535605,2010.8269596938917
WY,Wyoming,2,high_supply,84.52575016603272,2.3448275862068964,3.8420795530014877,2010.3394744369896
