practice_state,female_25_29,female_30_34,female_35_39,female_40_44,female_25_44_pop
AL,159547,171785,166929,171779,670040
AK,24350,29190,27692,22702,103934
AZ,250767,255321,235769,241378,983235
AR,93251,98378,102054,101480,395163
CA,1328848,1465318,1378010,1350649,5522825
CO,216168,236076,224613,203199,880056
CT,111979,118465,125467,115039,470950
DE,29763,32883,34649,34317,131612
DC,40785,40768,32375,29101,143029
FL,685446,761558,758081,761340,2966425
GA,370764,400951,397321,391125,1560161
HI,43258,46561,47137,50942,187898
ID,60105,64652,68092,62920,255769
IL,424408,443494,427230,418109,1713241
IN,226050,234340,223238,221119,904747
IA,99777,100957,100325,99576,400635
KS,92239,95060,97109,95122,379530
KY,142447,150122,145721,148579,586869
LA,139043,163327,161467,149280,613117
ME,40442,45819,43972,45553,175786
MD,193273,217825,223535,221103,855736
MA,246890,250550,245975,234525,977940
MI,317484,343047,319724,303068,1283323
MN,177979,191362,196179,194174,759694
MS,91334,96493,93688,102075,383590
MO,197993,209360,205471,203521,816345
MT,32339,35710,33124,39365,140538
NE,63194,64234,61973,68036,257437
NV,107999,123002,115596,108752,455349
NH,39055,46114,44347,43775,173291
NJ,295001,322109,327147,307519,1251776
NM,63299,68947,70680,66949,269875
NY,693944,715782,680399,628827,2718952
NC,354744,385314,374186,368848,1483092
ND,27017,26837,27900,25589,107343
OH,371677,399774,385467,375923,1532841
OK,130572,135537,136873,139316,542298
OR,136604,151199,152400,150594,590797
PA,391278,429708,432961,411337,1665284
RI,35121,38524,37008,35593,146246
SC,165592,183222,173366,184227,706407
SD,28905,26144,28736,27908,111693
TN,238768,259074,243142,239877,980861
TX,1081395,1138773,1102964,1109999,4433131
UT,132415,123477,117746,113621,487259
VT,17492,18939,22144,19699,78274
VA,276812,300809,313728,301525,1192874
WA,275107,309648,293636,276511,1154902
WV,48850,52494,54282,52229,207855
WI,183043,186911,188824,186576,745354
WY,19117,18550,19059,19550,76276
