county_fips,county_name,state_fips,practice_state,total_population
01001,"Autauga County, Alabama",01,AL,58761
01003,"Baldwin County, Alabama",01,AL,233420
01005,"Barbour County, Alabama",01,AL,24877
01007,"Bibb County, Alabama",01,AL,22251
01009,"Blount County, Alabama",01,AL,59077
01011,"Bullock County, Alabama",01,AL,10328
01013,"Butler County, Alabama",01,AL,18981
01015,"Calhoun County, Alabama",01,AL,116162
01017,"Chambers County, Alabama",01,AL,34612
01019,"Cherokee County, Alabama",01,AL,25069
01021,"Chilton County, Alabama",01,AL,45140
01023,"Choctaw County, Alabama",01,AL,12669
01025,"Clarke County, Alabama",01,AL,23058
01027,"Clay County, Alabama",01,AL,14209
01029,"Cleburne County, Alabama",01,AL,15144
01031,"Coffee County, Alabama",01,AL,53559
01033,"Colbert County, Alabama",01,AL,57270
01035,"Conecuh County, Alabama",01,AL,11576
01037,"Coosa County, Alabama",01,AL,10329
01039,"Covington County, Alabama",01,AL,37542
01041,"Crenshaw County, Alabama",01,AL,13205
01043,"Cullman County, Alabama",01,AL,88284
01045,"Dale County, Alabama",01,AL,49455
01047,"Dallas County, Alabama",01,AL,38326
01049,"DeKalb County, Alabama",01,AL,71680
01051,"Elmore County, Alabama",01,AL,87694
01053,"Escambia County, Alabama",01,AL,36755
01055,"Etowah County, Alabama",01,AL,103348
01057,"Fayette County, Alabama",01,AL,16297
01059,"Franklin County, Alabama",01,AL,32011
01061,"Geneva County, Alabama",01,AL,26647
01063,"Greene County, Alabama",01,AL,7706
01065,"Hale County, Alabama",01,AL,14742
01067,"Henry County, Alabama",01,AL,17282
01069,"Houston County, Alabama",01,AL,107040
01071,"Jackson County, Alabama",01,AL,52618
01073,"Jefferson County, Alabama",01,AL,672265
01075,"Lamar County, Alabama",01,AL,13885
01077,"Lauderdale County, Alabama",01,AL,94329
01079,"Lawrence County, Alabama",01,AL,33116
01081,"Lee County, Alabama",01,AL,175126
01083,"Limestone County, Alabama",01,AL,104199
01085,"Lowndes County, Alabama",01,AL,10153
01087,"Macon County, Alabama",01,AL,19198
01089,"Madison County, Alabama",01,AL,389781
01091,"Marengo County, Alabama",01,AL,19180
01093,"Marion County, Alabama",01,AL,29203
01095,"Marshall County, Alabama",01,AL,97923
01097,"Mobile County, Alabama",01,AL,413878
01099,"Monroe County, Alabama",01,AL,19816
01101,"Montgomery County, Alabama",01,AL,228132
01103,"Morgan County, Alabama",01,AL,123102
01105,"Perry County, Alabama",01,AL,8479
01107,"Pickens County, Alabama",01,AL,18925
01109,"Pike County, Alabama",01,AL,32997
01111,"Randolph County, Alabama",01,AL,22179
01113,"Russell County, Alabama",01,AL,58849
01115,"St. Clair County, Alabama",01,AL,91719
01117,"Shelby County, Alabama",01,AL,223916
01119,"Sumter County, Alabama",01,AL,12196
01121,"Talladega County, Alabama",01,AL,81105
01123,"Tallapoosa County, Alabama",01,AL,41251
01125,"Tuscaloosa County, Alabama",01,AL,231558
01127,"Walker County, Alabama",01,AL,64978
01129,"Washington County, Alabama",01,AL,15434
01131,"Wilcox County, Alabama",01,AL,10441
01133,"Winston County, Alabama",01,AL,23655
02013,"Aleutians East Borough, Alaska",02,AK,3407
02016,"Aleutians West Census Area, Alaska",02,AK,5219
02020,"Anchorage Municipality, Alaska",02,AK,290674
02050,"Bethel Census Area, Alaska",02,AK,18538
02060,"Bristol Bay Borough, Alaska",02,AK,854
02063,"Chugach Census Area, Alaska",02,AK,7000
02066,"Copper River Census Area, Alaska",02,AK,2614
02068,"Denali Borough, Alaska",02,AK,2101
02070,"Dillingham Census Area, Alaska",02,AK,4854
02090,"Fairbanks North Star Borough, Alaska",02,AK,96299
02100,"Haines Borough, Alaska",02,AK,2079
02105,"Hoonah-Angoon Census Area, Alaska",02,AK,2329
02110,"Juneau City and Borough, Alaska",02,AK,32108
02122,"Kenai Peninsula Borough, Alaska",02,AK,59235
02130,"Ketchikan Gateway Borough, Alaska",02,AK,13910
02150,"Kodiak Island Borough, Alaska",02,AK,13065
02158,"Kusilvak Census Area, Alaska",02,AK,8372
02164,"Lake and Peninsula Borough, Alaska",02,AK,999
