zip5,county_fips,state_fips
601,72001,72
602,72003,72
603,72005,72
606,72093,72
610,72011,72
611,72141,72
612,72013,72
616,72013,72
617,72017,72
622,72023,72
623,72023,72
624,72111,72
627,72027,72
631,72001,72
636,72125,72
637,72121,72
638,72039,72
641,72141,72
646,72051,72
647,72055,72
650,72054,72
652,72013,72
653,72055,72
656,72059,72
659,72065,72
660,72067,72
662,72071,72
664,72073,72
667,72079,72
669,72081,72
670,72083,72
674,72091,72
676,72099,72
677,72117,72
678,72115,72
680,72097,72
682,72097,72
683,72125,72
685,72131,72
687,72101,72
688,72013,72
690,72005,72
692,72143,72
693,72145,72
694,72145,72
698,72153,72
703,72007,72
704,72123,72
705,72009,72
707,72095,72
714,72015,72
715,72113,72
716,72113,72
717,72113,72
718,72103,72
719,72105,72
720,72107,72
723,72109,72
725,72025,72
727,72025,72
728,72113,72
729,72029,72
730,72113,72
731,72113,72
735,72037,72
736,72035,72
738,72053,72
739,72041,72
740,72053,72
741,72069,72
745,72119,72
751,72123,72
754,72129,72
757,72133,72
765,72147,72
766,72149,72
767,72151,72
769,72043,72
771,72085,72
772,72087,72
773,72089,72
775,72049,72
777,72077,72
778,72063,72
780,72113,72
782,72045,72
783,72047,72
784,72057,72
786,72009,72
791,72069,72
794,72019,72
795,72075,72
802,78030,78
820,78010,78
830,78020,78
840,78010,78
850,78010,78
851,78010,78
901,72127,72
906,72127,72
907,72127,72
909,72127,72
911,72127,72
912,72127,72
913,72127,72
915,72127,72
917,72127,72
918,72127,72
920,72127,72
921,72127,72
923,72127,72
924,72127,72
925,72127,72
926,72127,72
927,72127,72
934,72061,72
949,72137,72
950,72051,72
951,72137,72
952,72137,72
953,72135,72
956,72021,72
957,72021,72
959,72021,72
960,72021,72
961,72021,72
962,72033,72
965,72061,72
966,72061,72
968,72061,72
969,72061,72
971,72061,72
976,72139,72
979,72031,72
982,72031,72
983,72031,72
985,72031,72
987,72031,72
1001,25013,25
1002,25015,25
1003,25015,25
1005,25027,25
1007,25015,25
1008,25013,25
1009,25013,25
1010,25013,25
1011,25013,25
1012,25015,25
1013,25013,25
1020,25013,25
1022,25013,25
1026,25015,25
1027,25015,25
1028,25013,25
1029,25003,25
1030,25013,25
1031,25027,25
1032,25015,25
1033,25015,25
1034,25013,25
1035,25015,25
1036,25013,25
1037,25027,25
1038,25015,25
1039,25015,25
1040,25013,25
1050,25015,25
1053,25015,25
1054,25011,25
1056,25013,25
1057,25013,25
1060,25015,25
1062,25015,25
1063,25015,25
1066,25015,25
1068,25027,25
1069,25013,25
1070,25015,25
1071,25013,25
1072,25011,25
1073,25015,25
1074,25027,25
1075,25015,25
1077,25013,25
1079,25013,25
1080,25013,25
1081,25013,25
1082,25015,25
1083,25027,25
1084,25015,25
1085,25013,25
1088,25015,25
1089,25013,25
1092,25027,25
1093,25011,25
1094,25027,25
